spu_name,is_virtual,is_redeem_code,fin_cata_code,sku_name,sku_code,barcode,isbn_code,sale_price,is_disable
aaa,1,0,FC0134,SKU标准名称ljj,L19090064939,CMS2C190130212002111,CMS2C190130212002111,12.10,0
电子书会员年卡,1,0,FC0099,电子书会员年卡,L19090065161,1568010835,,29.90,0
安卓连续包月,1,0,FA00150,安卓连续包月,L19090065169,1568015451,,29.90,0
啵啵-得到大学课程,1,0,FC0116,啵啵-得到大学课程,L19090065054,CMSC515676735049,,112.00,0
aaa,1,0,FC0135,SKU标准名称ljj,L19090064967,CMSC2C1901302123,,12.10,0
啵啵-普通课题财务分类,1,0,FC0135,啵啵-普通课题财务分类,L19090064971,CMSC415676668256,,10.00,0
啵啵-得到第一课财务分类,1,0,FC0134,啵啵-得到第一课财务分类,L19090065050,CMSC615676732923,,12.00,0
电子书月卡会员,1,0,FC0144,电子书月卡会员,L19090065173,1568015537,,29.90,0
product_name,1,1,FC0148,sku name,L19090065256,1568169901,,29.90,0
product_name,1,1,FC0124,sku name,L19090065260,1568170521,,29.90,0
虚拟可库存,1,1,FC0116,虚拟可库存,L19090065692,1568799569598,,29.90,0
《一带一路》解读版,1,0,FC0140,《一带一路》解读版,IGETBOOKSKU20160909199,IG20160909199,,23.00,0
太阳照常升起,1,0,FC0140,太阳照常升起,XLJD0X170523001588,XLJD023001588,,23.00,0
人类简史,1,0,FC0140,人类简史,IGETBOOKSKU2016081018,IGETBOO6081018,,22.00,0
结构主义,1,0,FC0140,结构主义,L17120038036,L17120038036,,23.00,0
管理行为(解读版),1,0,FC0140,管理行为(解读版),IGETBOOKSKU20160810198,IGETBKU20160810,,2.00,0
互联网生态:重构商业规则,1,0,FC0140,互联网生态:重构商业规则,IGETBOOKSKU20160810289,OKSKU20160810289,,2.00,0
product_name,1,0,FC0124,sku name,L19100066393,1570519070,,29.90,0
虚拟可库存,1,1,FC0132,虚拟可库存,L19100066511,1570778601645,,29.90,0
product_name,1,0,FC0181,sku name,L19100066610,1571049348,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066770,CMSCJJ9113021245,CMSCJJ9113021245,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066766,CMSCJJ9113021245,CMSCJJ9113021245,12.10,0
朵朵兑换码商品音频3,1,1,FC0106,朵朵兑换码商品音频三,L19100066594,D0008,,0.50,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066634,CMSCJ19013021223,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066630,CMSCJ19013021223,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066650,CMSCJ19013021225,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066642,CMSCJ19013021225,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066722,CMSCJ19013021239,CMSCJ19013021239,12.10,0
product_name,1,0,FC0181,sku name,L19100066507,1570764595,,29.90,0
虚拟可库存,1,0,FC0181,虚拟可库存,L19100066590,1571041650813,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066674,CMSCJ19013021230,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066670,CMSCJ19013021230,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066458,CMSCJ19013021216,CMSCJ19013021216,12.10,0
未上线课程邮件提醒测试,1,0,FC0135,未上线课程邮件提醒测试,L19100066523,CMSC415708699532,,200.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066734,CMSCJ29113021239,CMSCJ29113021239,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066730,CMSCJ29113021239,CMSCJ29113021239,12.10,0
朵朵直播课程2,1,0,FC0118,朵朵直播课程二,L19100066646,D0010,,300.00,0
魏婷创建新课程,1,0,FC0135,魏婷创建新课程,L19100066503,CMSC415707645516,,12.00,0
虚拟可库存,1,0,FC0181,虚拟可库存,L19100066519,1570867954602,,29.90,0
2323,1,0,FC0112,23,L19100066560,232322222,,23.00,0
虚拟可库存,1,0,FC0181,虚拟可库存,L19100066578,1571041132304,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066718,CMSCJ19013021238,CMSCJ19013021238,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066762,CMSCJJ9113021244,CMSCJJ9113021244,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066569,CMSCJ19013021218,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066466,CMSCJ19013021218,,12.10,0
朵朵测试音频3,1,0,FC0109,朵朵测试音频三,L19100066535,D0003,,120.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066662,CMSCJ19013021228,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066658,CMSCJ19013021228,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066702,CMSCJ19013021235,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066742,CMSCJ29113021240,CMSCJ29113021240,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066738,CMSCJ29113021240,CMSCJ29113021240,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066714,CMSCJ19013021237,CMSCJ19013021237,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066710,CMSCJ19013021237,CMSCJ19013021237,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066754,CMSCJ29113021242,CMSCJ29113021242,12.10,0
product_name,1,0,FC0181,sku name,L19100066482,1570695306,,29.90,0
product_name,1,0,FC0181,sku name,L19100066491,1570702542,,29.90,0
测试音频1,1,0,FC0109,测试音频一,L19100066527,D001,,100.00,0
product_name,1,0,FC0181,sku name,L19100066614,1571049350,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066706,CMSCJ19013021236,CMSCJ19013021236,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066726,CMSCJ29013021239,CMSCJ29013021239,12.10,0
朵朵测试音频2,1,0,FC0109,朵朵测试音频二,L19100066531,D0002,,125.00,0
朵朵测试音频1,1,0,FC0109,朵朵测试音频一,L19100066539,D0001,,135.00,0
朵朵测试直播课二四日,1,0,FC0118,朵朵测试直播课二四日,L19100066573,D0007,,2.00,0
音频二另一个兑换码,1,1,FC0106,音频二另一个兑换码,L19100066602,D00001,,20.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066758,CMSCJJ9113021243,CMSCJJ9113021243,12.10,0
电子书-人类简史：从动物到上帝,1,0,FC0140,电子书-人类简史：从动物到上帝,L19100066450,9787513311328,9787513311328,12.00,0
虚拟不可库存,1,0,FC0148,虚拟不可库存,L19040005569,1571041400357,,29.90,0
同步绑定关系的课程,1,0,FC0109,同步绑定关系的课程,yanan002,D008,,0.20,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066622,CMSCJ19013021221,,12.10,0
啵啵-最接磐石自动创建sku,1,0,FC0133,啵啵-最接磐石自动创建sku,L19100066446,CMSC415706768248,,12.00,0
测试音频2的兑换码商品,1,1,FC0106,测试音频二的兑换码商品,L19100066543,D0004,,139.00,0
朵朵测试直播课136,1,0,FC0118,朵朵测试直播课一三六,L19100066556,D0006,,100.00,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066638,CMSCJ19013021224,,12.10,0
aaa12,1,0,BC0218,SKU标准名称ljj112,L19100066654,CMSCJ19013021227,,12.10,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066790,CMSCJ19013021231,,12.10,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066698,CMSCJ19013021231,,12.10,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066694,CMSCJ19013021231,,12.10,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066690,CMSCJ19013021231,,12.10,0
aaa12,1,0,FC0149,SKU标准名称ljj112,L19100066678,CMSCJ19013021231,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066686,CMSCJ19013021233,,12.10,0
朵朵充值商品,1,1,FC0124,朵朵测试充值商品,L19100066598,D0009,,20.00,0
product_name,1,1,FC0116,sku name,L19100066478,1570695100,,29.90,0
product_name,1,0,FC0124,sku name,L19100066499,1570762492,,29.90,0
朵朵测试充值码商品,1,1,FC0124,朵朵测试充值码商品,L19100066547,D0005,,100.00,0
虚拟可库存,1,0,FC0148,虚拟可库存,L19100066582,1571041399754,,29.90,0
product_name,1,1,FC0148,sku name,L19100066606,1571049042,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066626,CMSCJ19013021222,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066750,CMSCJ29113021241,CMSCJ29113021241,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066746,CMSCJ29113021241,CMSCJ29113021241,12.10,0
得到大学-杭州班,1,0,FC0116,得到大学-杭州班,L19100066454,CMSC515706784319,,12800.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066682,CMSCJ19013021232,,12.10,0
product_name,1,0,FC0181,sku name,L19100066944,1571215620,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066810,CMSCJJ9113021250,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066806,CMSCJJ9113021250,,12.10,0
权限课程测试,1,0,FC0149,默认班次,L19100066916,CMSXLY1016111718,,10.00,0
product_name,1,0,FC0181,sku name,L19100066948,1571215621,,29.90,0
product_name,1,0,FC0181,sku name,L19100066912,1571195673,,29.90,0
今天不宜感冒,1,0,FC0149,这是班次,L19100066932,CMSXLY1016162742,,0.90,0
测试服产品名称,1,0,FC0149,测试服务产品SKU,L19100066878,SN20191510202826,,12.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066960,CMSCJJ9113021260,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066890,CMSCJJ9113021260,,12.10,0
product_name,1,0,FC0181,sku name,L19100066952,1571215622,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066870,CMSCJJ9113021258,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066822,CMSCJJ91130212511,,12.10,0
product_name,1,0,FC0181,sku name,L19100066928,1571211272,,29.90,0
product_name,1,0,FC0181,sku name,L19100066936,1571214682,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066972,CMSCJJ9113021261,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066964,CMSCJJ9113021261,,12.10,0
今天不宜感冒,1,0,FC0149,默认班次,L19100066920,CMSXLY1016112356,,0.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066976,CMSCJJ9113021262,CMSCJJ9113021262,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066980,CMSCJJ9113021291,CMSCJJ9113021291,12.10,0
测试新建的SKU,1,0,FC0149,再创建一个新的SKU,L19100066898,CMSXLY1016101108,,20.99,0
测试SKU自动绑定,1,0,FC0149,默认班次,L19100066924,CMSXLY1016113020,,12.00,0
电子书-啵啵-自动创建电子书sku,1,0,FC0140,电子书-啵啵-自动创建电子书sku,L19100066984,D5481723580147881,D5481723580147881,32.40,0
product_name,1,0,FC0181,sku name,L19100066996,1571481684,,29.90,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066782,CMSCJJ9113021246,CMSCJJ9113021246,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066778,CMSCJJ9113021246,CMSCJJ9113021246,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066774,CMSCJJ9113021246,CMSCJJ9113021246,12.10,0
测试新建的SKU,1,0,FC0149,默认班次,L19100066894,CMSXLY1015215121,,20.99,0
测试课程zjj,1,0,FC0149,默认班次,L19100066956,CMSXLY1016164747,,12.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066866,CMSCJJ9113021257,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066862,CMSCJJ9113021257,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066858,CMSCJJ9113021257,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066854,CMSCJJ9113021257,,12.10,0
测试服产品名称,1,0,FC0149,测试服务产品SKU,L19100066886,CMSXLY1015211342,,12.00,0
今天不宜感冒,1,0,FC0149,测试购买,L19100066940,CMSXLY1016163148,,0.90,0
a,1,0,FC0149,123,L19100066968,CMSXLY1016191010,,12.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066794,CMSCJJ9113021247,CMSCJJ9113021247,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066786,CMSCJJ9113021247,CMSCJJ9113021247,12.10,0
1571131419587,1,0,FC0181,1571131419588,L19100066802,1571131419586,,12.00,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066838,CMSCJJ9113021253,,12.10,0
aaa12,1,0,FC0140,SKU标准名称ljj112,L19100066834,CMSCJJ9113021253,,12.10,0
测试服产品名称,1,0,FC0149,测试服务产品SKU,L19100066882,SN20191510203908,,12.00,0
啵啵-自动创建课程sku,1,0,FC0135,啵啵-自动创建课程sku,L19100066988,CMSC415713843382,,21.00,0
啵啵-自动创建训练营sku,1,0,FC0149,默认班次,L19100066992,CMSXLY1018154507,,32.00,0
1571727957746,1,0,FC0181,1571727957747,L19100067038,1571727957746,,12.00,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1571728739443,1571728739442,,29.90,0
修改文稿服务化后创建的训练营,1,0,FC0149,清理麻将房268间,L19100067021,CMSXLY1022102513,,199.00,0
34w,1,0,FC0132,34w,L19100067025,CMSC415717162457,,23.00,0
虚拟可库存1571728574776,1,0,FC0181,虚拟可库存1571728574776,1571728574776,1571728574775,,29.90,0
虚拟可库存1571814970016,1,0,FC0181,虚拟可库存1571814970015,1571814970016,1571814970014,,29.90,0
product_name,1,0,FC0181,sku name,L19100067191,1571911127,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067267,1572073568541,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067033,1571727948873,,29.90,0
虚拟可库存1571728741682,1,0,FC0181,虚拟可库存1571728741682,1571728741682,1571728741681,,29.90,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1571815126161,1571815126160,,29.90,0
虚拟不可库存1572073579245,1,0,FC0181,虚拟不可库存1572073579244,L19100067272,1572073579244,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1571728111802,L19100067054,1571728111802,,29.90,0
虚拟可库存1571728109337,1,0,FC0181,虚拟可库存1571728109336,1571728109336,1571728109335,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1571814519982,L19100067129,1571814519981,,29.90,0
虚拟可库存1571987305546,1,0,FC0181,虚拟可库存1571987305546,1571987305546,1571987305545,,29.90,0
虚拟可库存1571728114342,1,0,FC0181,虚拟可库存1571728114341,1571728114342,1571728114341,,29.90,0
虚拟不可库存1571987151618,1,0,FC0181,虚拟不可库存1571987151618,L19100067204,1571987151617,,29.90,0
修改文稿服务化后创建的训练营,1,0,FC0149,默认班次,L19100067017,CMSXLY1022102259,,199.00,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067108,1571814356401,,29.90,0
虚拟不可库存1571727960561,1,0,FC0181,虚拟不可库存1571727960561,L19100067042,1571727960560,,29.90,0
1571728548769,1,0,FC0181,1571728548769,L19100067062,1571728548768,,12.00,0
虚拟可库存1571987300393,1,0,FC0181,虚拟可库存1571987300392,1571987300392,1571987300391,,29.90,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1571987925138,1571987925138,,29.90,0
虚拟可库存1571987927400,1,0,FC0181,虚拟可库存1571987927399,1571987927399,1571987927398,,29.90,0
1571814363501,1,0,FC0181,1571814363501,L19100067113,1571814363500,,12.00,0
虚拟可库存1571814520771,1,0,FC0181,虚拟可库存1571814520770,1571814520770,1571814520769,,29.90,0
虚拟不可库存1571814366370,1,0,FC0181,虚拟不可库存1571814366370,L19100067117,1571814366369,,29.90,0
虚拟可库存1571815128074,1,0,FC0181,虚拟可库存1571815128073,1571815128073,1571815128072,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067199,1571987140471,,29.90,0
虚拟可库存1571987762989,1,0,FC0181,虚拟可库存1571987762989,1571987762989,1571987762988,,29.90,0
啵啵-自动创建训练营sku,1,0,FC0149,冷风吹,L19100067013,CMSXLY1021214902,,32.00,0
1571814954960,1,0,FC0181,1571814954960,L19100067137,1571814954960,,12.00,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1571987302858,L19100067216,1571987302858,,29.90,0
虚拟可库存1571814517811,1,0,FC0181,虚拟可库存1571814517810,1571814517810,1571814517809,,29.90,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1572074354149,1572074354149,,29.90,0
虚拟可库存1572073727929,1,0,FC0181,虚拟可库存1572073727929,1572073727929,1572073727928,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067334,1572159939614,,29.90,0
虚拟不可库存1572159950369,1,0,FC0181,虚拟不可库存1572159950368,L19100067339,1572159950368,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1572160101499,L19100067351,1572160101498,,29.90,0
虚拟可库存1572160727050,1,0,FC0181,虚拟可库存1572160727049,1572160727050,1572160727049,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067401,1572246367920,,29.90,0
虚拟可库存1572073732485,1,0,FC0181,虚拟可库存1572073732485,1572073732485,1572073732484,,29.90,0
虚拟可库存1572074356290,1,0,FC0181,虚拟可库存1572074356289,1572074356290,1572074356289,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1572246528899,L19100067418,1572246528898,,29.90,0
虚拟可库存1572246526717,1,0,FC0181,虚拟可库存1572246526717,1572246526717,1572246526716,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1572073730249,L19100067284,1572073730249,,29.90,0
虚拟可库存1572074189509,1,0,FC0181,虚拟可库存1572074189508,1572074189508,1572074189507,,29.90,0
虚拟可库存1572160103738,1,0,FC0181,虚拟可库存1572160103737,1572160103738,1572160103737,,29.90,0
虚拟可库存1572160560148,1,0,FC0181,虚拟可库存1572160560147,1572160560147,1572160560146,,29.90,0
虚拟可库存1572160099086,1,0,FC0181,虚拟可库存1572160099086,1572160099086,1572160099085,,29.90,0
虚拟不可库存1572246378132,1,0,FC0181,虚拟不可库存1572246378131,L19100067406,1572246378131,,29.90,0
全店满减-兑换码（可库存）01,1,0,FC0181,全店满减-兑换码（可库存）01,1572160724700,1572160724699,tututest,29.90,0
虚拟可库存1572246531108,1,0,FC0181,虚拟可库存1572246531108,1572246531108,1572246531107,,29.90,0
acy测试训练营,1,0,FC0149,默认班次,L19100067487,CMSXLY1029154811,,1.00,0
虚拟可库存1572246988058,1,0,FC0181,虚拟可库存1572246988058,1572246988058,1572246988057,,29.90,0
电子书-湛庐电子书会员结算测试,1,0,FC0140,电子书-湛庐电子书会员结算测试,L19100067475,D8596191594994701,D8596191594994701,3.99,0
虚拟可库存1572419324764,1,0,FC0181,虚拟可库存1572419324763,1572419324764,1572419324763,,29.90,0
虚拟可库存1572419795958,1,0,FC0181,虚拟可库存1572419795957,1572419795957,1572419795956,,29.90,0
f382832,1,0,FC0101,f382832,L19100067464,1572248437569,9787544765237,29.90,0
湛庐电子书会员测试,1,0,FC0140,湛庐电子书会员测试,L19100067471,zhanlu,,19.90,0
1572419173537,1,0,FC0181,1572419173538,L19100067582,1572419173537,,12.00,0
虚拟可库存1572419959997,1,0,FC0181,虚拟可库存1572419959996,1572419959996,1572419959995,,29.90,0
可口可乐传,1,0,FC0101,可口可乐传,L17110036919,12121111,,1.00,0
虚拟可库存1572505706179,1,0,FC0181,虚拟可库存1572505706178,1572505706179,1572505706178,,29.90,0
1572506140606,1,0,FC0181,1572506140606,L19100067689,1572506140605,,12.00,0
电子书-湛庐电子书会员结算测试3,1,0,FC0140,电子书-湛庐电子书会员结算测试3,L19100067483,D6395644909337901,D6395644909337901,8.90,0
虚拟可库存1572247152810,1,0,FC0181,虚拟可库存1572247152810,1572247152810,1572247152809,,29.90,0
虚拟不可库存1572419176391,1,0,FC0181,虚拟不可库存1572419176391,L19100067586,1572419176390,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067660,1572505539843,,29.90,0
虚拟可库存1572505701307,1,0,FC0181,虚拟可库存1572505701307,1572505701307,1572505701306,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19100067577,1572419164144,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1572419327273,L19100067598,1572419327272,,29.90,0
经济学原理,1,0,FC0140,经济学原理,XLJD0X170426001281,jingjixueyuanli,,23.00,0
acy测试训练营,1,0,FC0149,acy01班次,L19100067491,CMSXLY1029154951,,1.00,0
d898f3ff,1,0,FC0082,4343,L19100067495,44o9058384,,33.00,0
11 11,1,0,FC0149,默认班次,L19100067519,CMSXLY1029173141,,0.01,0
海底两万里,1,0,FC0140,海底两万里,XLJD0X170523001543,haidiliangwanli,,23.00,0
虚拟可库存1572419329599,1,0,FC0181,虚拟可库存1572419329598,1572419329599,1572419329598,,29.90,0
1572506148438,1,0,FC0181,1572506148438,L19100067693,1572506148438,,12.00,0
穷查理宝典,1,0,FC0101,穷查理宝典,XLJD0X170302000884,qiongchali,,12.00,0
虚拟可库存04,1,0,FC0181,虚拟可库存04,L19100067681,1572505703771,9787544765237,29.90,0
1572419772000,1,0,FC0181,1572419772001,L19100067610,1572419772000,,12.00,0
虚拟不可库存1572505551737,1,0,FC0181,虚拟不可库存1572505551737,L19100067669,1572505551736,,29.90,0
电子书-湛庐电子书会员结算测试2,1,0,FC0140,电子书-湛庐电子书会员结算测试2,L19100067479,D7876280790206501,D7876280790206501,32.40,0
1572419763955,1,0,FC0181,1572419763955,L19100067606,1572419763955,,12.00,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1572419957814,1572419957814,,29.90,0
1572505548918,1,0,FC0181,1572505548919,L19100067665,1572505548918,,12.00,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1572247150040,1572247150039,,29.90,0
小岛经济学,1,0,FC0101,小岛经济学,XLJD0X170809002601,xiaodao,,12.00,0
虚拟可库存1572592131045,1,0,FC0181,虚拟可库存1572592131045,1572592131045,1572592131044,,29.90,0
虚拟可库存1572592761176,1,0,FC0181,虚拟可库存1572592761175,1572592761175,1572592761174,,29.90,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1572592759010,1572592759009,,29.90,0
全店满减-兑换码（可库存）,1,0,FC0181,全店满减-兑换码（可库存）,1572506334771,1572506334770,,29.90,0
自营虚拟直减,1,0,FC0181,虚拟不可库存1572592129201,L19110067772,1572592129200,,29.90,0
1572592572435,1,0,FC0181,1572592572436,L19110067784,1572592572435,,12.00,0
1572592564560,1,0,FC0181,1572592564560,L19110067780,1572592564560,,12.00,0
周一提问问题第一条，怎么办？,1,0,FC0107,周一提问问题第一条，怎么办？,L19110067838,CMSWD15726061840,,9.99,0
a35056,1,0,FC0107,a35056,L19110067834,CMSXLY1101172306,,120.00,0
2,1,0,FC0107,2,L19110067826,CMSXLY1101170326,,0.90,0
虚拟可库存1572506173206,1,0,FC0181,虚拟可库存1572506173205,1572506173205,1572506173204,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19110067751,1572591967500,,29.90,0
1572591976806,1,0,FC0181,1572591976807,L19110067756,1572591976806,,12.00,0
虚拟可库存1572592128020,1,0,FC0181,虚拟可库存1572592128019,1572592128020,1572592128018,,29.90,0
问答title_2019-11-01 17:07:48,1,0,FC0107,问答title_2019-11-01 17:07:48,L19110067830,CMSXLY1101170824,,0.11,0
虚拟可库存1572506336841,1,0,FC0181,虚拟可库存1572506336840,1572506336841,1572506336840,,29.90,0
虚拟不可库存1572591979684,1,0,FC0181,虚拟不可库存1572591979684,L19110067760,1572591979683,,29.90,0
虚拟可库存1572592595822,1,0,FC0181,虚拟可库存1572592595821,1572592595822,1572592595821,,29.90,0
虚拟可库存1572678990890,1,0,FC0181,虚拟可库存1572678990890,1572678990890,1572678990889,,29.90,0
虚拟可库存1572765392535,1,0,FC0181,虚拟可库存1572765392534,1572765392534,1572765392533,,29.90,0
普通虚拟（不可库存）,1,0,FC0181,全店满减-普通虚拟（不可库存）,L19110068020,1572851139430,,29.90,0
虚拟可库存1572851301308,1,0,FC0181,虚拟可库存1572851301306,1572851301307,1572851301305,,29.90,0
1572851742582,1,0,FC0181,1572851742582,L19110068053,1572851742582,,12.00,0
